time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.175157493941022e-08,7.402874736267752e-07,10.00269679330161,0.0005862383813814986,6.283031194132098,0.0,9.896455687459774e-06,5.9111463328203275e-05,0.08988955043122883,0.024365073230713335,-0.008276910828273094,0.0,434.4178974734486,433.7234869924659,432.26435068168064,434.3122875900397
0.12000000000000001,5.487624572377175e-06,2.109903206847186e-05,10.009654341592036,0.0023796866465808364,6.282358339032967,0.0,0.0002250770496492662,0.0007757362911927813,0.1420229852042223,0.03912508781830735,-0.01785303140211334,0.0,421.78687785370636,420.9593007983789,420.89531699627014,422.17089892620237
0.18,3.957487363695078e-05,0.0001250599822092785,10.0205661890764,0.004133524577504488,6.281249305299198,0.0,0.0010190430632518145,0.002916491246783683,0.22169168111161636,-0.01467645046345243,-0.019776354420289705,0.0,430.18951454100954,430.0266969439957,433.02538848299685,428.47668273395226
0.23999999999999996,0.00014710928835683302,0.00038589207384429893,10.037685998680155,0.002697041889722307,6.279866267033569,0.0,0.002700591056552956,0.005671819094834731,0.34893774334025457,-0.05839103697950096,-0.03056905589741507,0.0,445.6128220606533,444.7297831887047,447.6734423117303,444.1023870587296
0.3,0.0003829826222547921,0.0007674214890904915,10.061132585875642,6.282168976613192,6.277957616270637,0.0,0.005347994138837782,0.006687526937818564,0.4325864425145831,-0.07000745903863388,-0.03441734055892034,0.0,432.21346552388826,431.88866297661554,432.09243722270907,431.109246557267
0.36000000000000004,0.0008060401162334716,0.0011371337109356559,10.087628569159909,6.27884519058906,6.275657489441073,0.0,0.008948718599351441,0.005306863178244174,0.45060400238172893,-0.03588636660284107,-0.04762251993634113,0.0,410.4874468484204,409.3132212795074,409.1310920821607,412.1545749549809
0.4200000000000001,0.0015275663830391368,0.0013467526775274047,10.119948035065347,6.276577329199588,6.273012875382648,0.0,0.01541218218474104,0.001430804211764592,0.6266271403691249,-0.04192303572712549,-0.03779282504713925,0.0,460.23361387722383,461.0097901360133,460.89802071823846,460.42010652100396
0.48000000000000015,0.0027030094763454246,0.0012650406715862005,10.163575941087998,6.273673806680659,6.270268510920198,0.0,0.02405049014229151,-0.004464700983629923,0.8275067840744558,-0.06626017187539064,-0.0705877083844382,0.0,469.85385550924605,467.30337460341394,468.9024258521651,467.00675235428093
0.5400000000000001,0.004441649030059155,0.0007761368975716735,10.217135807619885,6.269314689772967,6.265773565481201,0.0,0.0343656103450767,-0.012269610683779122,0.9577100224447161,-0.09020394958031573,-0.08539268504552379,0.0,448.15180785746367,446.9424966223666,447.68854284200137,445.7319919398745
0.6000000000000002,0.006844772444138217,-0.00023577198740594283,10.275520732146555,6.264456746964475,6.260250783838071,0.0,0.046221515337175674,-0.02192713181316698,0.9884109340660214,-0.0669899932658709,-0.1106624362986913,0.0,416.403841037839,414.17941443366266,414.3737450104347,416.40311265109807
0.6600000000000003,0.010137276102791498,-0.0019687430659918272,10.338663150521665,6.261300358130935,6.253942008832995,0.0,0.0642109155041319,-0.03620665172387577,1.1161945413813101,-0.0333044888973829,-0.09593075165462757,0.0,446.9302569321426,448.1194930474103,444.5787377549282,447.3277508462685
0.7200000000000003,0.014630963911639814,-0.0046108502589112975,10.409118721265362,6.259957306353439,6.248257837790064,0.0,0.0861719162882653,-0.052028708079004754,1.2321826445320938,-0.00652294083931108,-0.09244977344713073,0.0,443.356994780777,443.6352220588646,442.13721452905395,444.33782468196785
0.7800000000000004,0.02051100413904591,-0.008191499401727028,10.485117342013389,6.260204467596973,6.242516175761427,0.0,0.11037525195732326,-0.06732558936492773,1.3010066632674535,0.019682209434313383,-0.1031283702252199,0.0,429.2622745517028,428.34698632899403,427.3545405304234,429.5821551657362
0.8400000000000004,0.028183972683463523,-0.012802798653008327,10.570627443766753,6.26108945667645,6.236456687422262,0.0,0.14613566523285978,-0.08624588105106011,1.5489950901511567,0.002394909327886944,-0.09703078144002762,0.0,483.1389259515879,483.59045613344045,484.3105780386506,483.00861519698054
0.9000000000000005,0.0378596036420483,-0.018395966798923243,10.664881138898718,6.261667913532635,6.230819581334,0.0,0.1769179411018448,-0.10015482187384077,1.5927062452917577,0.02118952570125985,-0.08841644364398908,0.0,420.9582417583238,421.6948980975739,420.6437890647692,422.2680083281478
0.9600000000000005,0.04976328018999078,-0.024919211679485243,10.766917862023922,6.262779502061978,6.225197097041441,0.0,0.22050045848689379,-0.11713690884542718,1.8081650511662457,0.012583568580614976,-0.10723223816617786,0.0,476.08062277842595,474.63187939835484,474.89882005823523,474.23822544225254
1.0200000000000005,0.06431683554844525,-0.03240069618367251,10.880095201683242,6.263417881967168,6.218856888533029,0.0,0.26530566491840085,-0.13216303188541348,1.9641106151909322,0.006437022459199254,-0.1027182997380591,0.0,458.0915778622198,458.4409442443298,457.85254354313423,457.3631712089599
1.0800000000000005,0.08176246779525174,-0.04079006855532036,11.003591850843856,6.263670302760863,6.212951397111226,0.0,0.3168840677039748,-0.14743831167596783,2.152055500071707,-0.0006747683709118204,-0.09099032279273524,0.0,468.1239920516615,469.0278098362827,468.13195213792125,467.57819433597894
1.1400000000000006,0.10222330154868862,-0.050032257448918725,11.135355738147178,6.264318635162743,6.207228577326266,0.0,0.3656873238035231,-0.16059399411148104,2.2398569635457832,0.027262388978212662,-0.1060401482628611,0.0,438.0986975593194,436.83755213372,437.7709640108257,440.0893138002021
